_time,host,user,EventCode,src_ip,dest_ip,logon_type,status,process_name,new_account,group_name,description
2026-07-22 08:46:12,DC01,itadmin2,4724,192.168.1.10,192.168.1.10,,0x0,,,,An attempt was made to reset dprasad's password by itadmin2
2026-07-22 08:47:40,FS02,svc_scan,4624,192.168.1.12,192.168.1.12,3,0x0,,,,An account was successfully logged on: svc_scan network logon for scheduled scan job
2026-07-22 08:48:23,DC01,fD'souza,4768,192.168.1.112,192.168.1.10,,0x0,,,,A Kerberos authentication ticket (TGT) was requested for fD'souza
2026-07-22 08:48:25,WS-12,fD'souza,4624,192.168.1.112,192.168.1.112,2,0x0,,,,An account was successfully logged on: fD'souza at WS-12
2026-07-22 08:48:28,WS-14,SYSTEM,4698,192.168.1.114,192.168.1.114,,0x0,C:\Windows\System32\taskeng.exe,,,A scheduled task was created by SYSTEM on WS-14 (routine maintenance task)
2026-07-22 08:49:26,DC01,rmehta,4769,192.168.1.115,192.168.1.10,,0x0,,,,A Kerberos service ticket was requested for rmehta to access FS01
2026-07-22 08:49:27,FS01,rmehta,4624,192.168.1.115,192.168.1.11,3,0x0,,,,An account was successfully logged on: rmehta network logon to FS01
2026-07-22 08:52:10,DC01,pnair,4768,192.168.1.107,192.168.1.10,,0x0,,,,A Kerberos authentication ticket (TGT) was requested for pnair
2026-07-22 08:52:12,WS-07,pnair,4624,192.168.1.107,192.168.1.107,2,0x0,,,,An account was successfully logged on: pnair at WS-07
2026-07-22 08:53:08,FS01,itadmin1,4672,192.168.1.11,192.168.1.11,,,,,,Special privileges assigned to new logon: itadmin1 (Administrators group) on FS01
2026-07-22 08:55:13,DC01,csubramaniam,4768,192.168.1.116,192.168.1.10,,0x0,,,,A Kerberos authentication ticket (TGT) was requested for csubramaniam
2026-07-22 08:55:15,WS-16,csubramaniam,4624,192.168.1.116,192.168.1.116,2,0x0,,,,An account was successfully logged on: csubramaniam at WS-16
2026-07-22 08:55:26,FS01,svc_sql,4624,192.168.1.11,192.168.1.11,5,0x0,,,,An account was successfully logged on: svc_sql service logon (SQL service)
2026-07-22 08:56:19,DC01,mreddy,4769,192.168.1.111,192.168.1.10,,0x0,,,,A Kerberos service ticket was requested for mreddy to access FS02
2026-07-22 08:56:20,FS02,mreddy,4624,192.168.1.111,192.168.1.12,3,0x0,,,,An account was successfully logged on: mreddy network logon to FS02
2026-07-22 08:59:48,DC01,svarma,4768,192.168.1.113,192.168.1.10,,0x0,,,,A Kerberos authentication ticket (TGT) was requested for svarma
2026-07-22 08:59:50,WS-13,svarma,4624,192.168.1.113,192.168.1.113,2,0x0,,,,An account was successfully logged on: svarma at WS-13
2026-07-22 09:01:05,WS-02,itadmin1,4688,192.168.1.102,192.168.1.102,,0x0,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,,,"A new process was created by itadmin1: powershell.exe -Command ""Update-Help -Force"""
2026-07-22 09:05:28,DC01,itadmin2,4768,192.168.1.112,192.168.1.10,,0x0,,,,A Kerberos authentication ticket (TGT) was requested for itadmin2
2026-07-22 09:05:30,WS-12,itadmin2,4624,192.168.1.112,192.168.1.112,2,0x0,,,,An account was successfully logged on: itadmin2 at WS-12
2026-07-22 09:09:23,WS-10,pchandra,4625,192.168.1.110,192.168.1.110,2,0xC000006A,,,,An account failed to log on: pchandra at WS-10 (bad password typo)
2026-07-22 09:13:19,FS01,apatel,4624,192.168.1.120,192.168.1.11,3,0x0,,,,An account was successfully logged on: apatel network logon to FS01 share access
2026-07-22 09:13:47,DC01,itadmin3,4672,192.168.1.10,192.168.1.10,,,,,,Special privileges assigned to new logon: itadmin3 (Administrators group) on DC01
2026-07-22 09:15:08,FS01,itadmin2,4672,192.168.1.11,192.168.1.11,,,,,,Special privileges assigned to new logon: itadmin2 (Administrators group) on FS01
2026-07-22 09:15:49,WS-09,itadmin2,4698,192.168.1.109,192.168.1.109,,0x0,C:\Windows\System32\taskeng.exe,,,A scheduled task was created by itadmin2 on WS-09 (routine maintenance task)
2026-07-22 09:17:44,FS01,pnair,4624,192.168.1.107,192.168.1.11,3,0x0,,,,An account was successfully logged on: pnair network logon to FS01 share access
2026-07-22 09:17:59,WS-20,itadmin1,4698,192.168.1.120,192.168.1.120,,0x0,C:\Windows\System32\taskeng.exe,,,A scheduled task was created by itadmin1 on WS-20 (routine maintenance task)
2026-07-22 09:19:30,DC01,sgowda,4768,192.168.1.106,192.168.1.10,,0x0,,,,A Kerberos authentication ticket (TGT) was requested for sgowda
2026-07-22 09:19:32,WS-06,sgowda,4624,192.168.1.106,192.168.1.106,2,0x0,,,,An account was successfully logged on: sgowda at WS-06
2026-07-22 09:26:08,WS-07,itadmin2,4688,192.168.1.107,192.168.1.107,,0x0,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,,,"A new process was created by itadmin2: powershell.exe -Command ""Get-Disk | Get-Volume"""
2026-07-22 09:26:12,WS-19,lfernandes,4625,192.168.1.119,192.168.1.119,2,0xC000006A,,,,An account failed to log on: lfernandes at WS-19 (bad password typo)
2026-07-22 09:27:01,DC01,cwilliams,4769,192.168.1.102,192.168.1.10,,0x0,,,,A Kerberos service ticket was requested for cwilliams to access FS02
2026-07-22 09:27:02,FS02,cwilliams,4624,192.168.1.102,192.168.1.12,3,0x0,,,,An account was successfully logged on: cwilliams network logon to FS02
2026-07-22 09:27:51,FS02,gnair,4624,192.168.1.107,192.168.1.12,3,0x0,,,,An account was successfully logged on: gnair network logon to FS02 share access
2026-07-22 09:28:12,DC01,vraghunathan,4768,192.168.1.114,192.168.1.10,,0x0,,,,A Kerberos authentication ticket (TGT) was requested for vraghunathan
2026-07-22 09:28:14,WS-14,vraghunathan,4624,192.168.1.114,192.168.1.114,2,0x0,,,,An account was successfully logged on: vraghunathan at WS-14
2026-07-22 09:28:50,DC01,svarma,4769,192.168.1.113,192.168.1.10,,0x0,,,,A Kerberos service ticket was requested for svarma to access FS02
2026-07-22 09:28:51,FS02,svarma,4624,192.168.1.113,192.168.1.12,3,0x0,,,,An account was successfully logged on: svarma network logon to FS02
2026-07-22 09:29:27,WS-16,SYSTEM,4698,192.168.1.116,192.168.1.116,,0x0,C:\Windows\System32\taskeng.exe,,,A scheduled task was created by SYSTEM on WS-16 (routine maintenance task)
2026-07-22 09:32:06,FS01,itadmin3,4688,192.168.1.11,192.168.1.11,,0x0,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,,,"A new process was created by itadmin3: powershell.exe -Command ""Get-Service | Where-Object {$_.Status -eq 'Stopped'}"""
2026-07-22 09:32:47,WS-05,itadmin1,4688,192.168.1.105,192.168.1.105,,0x0,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,,,"A new process was created by itadmin1: powershell.exe -Command ""Get-Service | Where-Object {$_.Status -eq 'Stopped'}"""
2026-07-22 09:38:14,DC01,vraghunathan,4769,192.168.1.114,192.168.1.10,,0x0,,,,A Kerberos service ticket was requested for vraghunathan to access FS01
2026-07-22 09:38:15,FS01,vraghunathan,4624,192.168.1.114,192.168.1.11,3,0x0,,,,An account was successfully logged on: vraghunathan network logon to FS01
2026-07-22 09:38:38,DC01,Administrator,4672,192.168.1.10,192.168.1.10,,,,,,Special privileges assigned to new logon: Administrator (Administrators group) on DC01
2026-07-22 09:39:17,FS01,apatel,4624,192.168.1.120,192.168.1.11,3,0x0,,,,An account was successfully logged on: apatel network logon to FS01 share access
2026-07-22 09:42:00,FS02,itadmin1,4688,192.168.1.12,192.168.1.12,,0x0,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,,,"A new process was created by itadmin1: powershell.exe -Command ""Restart-Service -Name Spooler"""
2026-07-22 09:42:04,WEB01,csubramaniam,4776,192.168.1.116,192.168.1.14,,0x0,,,,The domain controller attempted to validate credentials for csubramaniam (NTLM to WEB01)
2026-07-22 09:43:11,DC01,itadmin1,4768,192.168.1.102,192.168.1.10,,0x0,,,,A Kerberos authentication ticket (TGT) was requested for itadmin1
2026-07-22 09:43:13,WS-02,itadmin1,4624,192.168.1.102,192.168.1.102,2,0x0,,,,An account was successfully logged on: itadmin1 at WS-02
2026-07-22 09:46:07,DC01,nkulkarni,4768,192.168.1.117,192.168.1.10,,0x0,,,,A Kerberos authentication ticket (TGT) was requested for nkulkarni
2026-07-22 09:46:09,WS-17,nkulkarni,4624,192.168.1.117,192.168.1.117,2,0x0,,,,An account was successfully logged on: nkulkarni at WS-17
2026-07-22 09:48:31,WEB01,svc_web,4624,192.168.1.14,192.168.1.14,5,0x0,,,,An account was successfully logged on: svc_web service logon (IIS app pool)
2026-07-22 09:48:54,FS01,ychawla,4624,192.168.1.117,192.168.1.11,3,0x0,,,,An account was successfully logged on: ychawla network logon to FS01 share access
2026-07-22 09:49:10,DC01,kverma,4768,192.168.1.105,192.168.1.10,,0x0,,,,A Kerberos authentication ticket (TGT) was requested for kverma
2026-07-22 09:49:12,WS-05,kverma,4624,192.168.1.105,192.168.1.105,2,0x0,,,,An account was successfully logged on: kverma at WS-05
2026-07-22 09:52:01,DC01,hshetty,4768,192.168.1.105,192.168.1.10,,0x0,,,,A Kerberos authentication ticket (TGT) was requested for hshetty
2026-07-22 09:52:03,FS02,njoshi,4624,192.168.1.110,192.168.1.12,3,0x0,,,,An account was successfully logged on: njoshi network logon to FS02 share access
2026-07-22 09:52:03,WS-05,hshetty,4624,192.168.1.105,192.168.1.105,2,0x0,,,,An account was successfully logged on: hshetty at WS-05
2026-07-22 09:52:14,DC01,itadmin2,4768,192.168.1.112,192.168.1.10,,0x0,,,,A Kerberos authentication ticket (TGT) was requested for itadmin2
2026-07-22 09:52:16,WS-12,itadmin2,4624,192.168.1.112,192.168.1.112,2,0x0,,,,An account was successfully logged on: itadmin2 at WS-12
2026-07-22 09:53:08,WS-09,itadmin1,4688,192.168.1.109,192.168.1.109,,0x0,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,,,"A new process was created by itadmin1: powershell.exe -Command ""Get-ADUser -Filter * | Export-Csv report.csv"""
2026-07-22 09:54:06,DC01,lfernandes,4769,192.168.1.119,192.168.1.10,,0x0,,,,A Kerberos service ticket was requested for lfernandes to access FS02
2026-07-22 09:54:07,FS02,lfernandes,4624,192.168.1.119,192.168.1.12,3,0x0,,,,An account was successfully logged on: lfernandes network logon to FS02
2026-07-22 09:57:10,DC01,rmehta,4768,192.168.1.115,192.168.1.10,,0x0,,,,A Kerberos authentication ticket (TGT) was requested for rmehta
2026-07-22 09:57:12,WS-15,rmehta,4624,192.168.1.115,192.168.1.115,2,0x0,,,,An account was successfully logged on: rmehta at WS-15
2026-07-22 09:58:20,FS01,itadmin2,4672,192.168.1.11,192.168.1.11,,,,,,Special privileges assigned to new logon: itadmin2 (Administrators group) on FS01
2026-07-22 09:59:06,WEB01,csubramaniam,4776,192.168.1.116,192.168.1.14,,0x0,,,,The domain controller attempted to validate credentials for csubramaniam (NTLM to WEB01)
2026-07-22 10:00:02,BKSRV01,service_backup,4624,192.168.1.13,192.168.1.13,5,0x0,,,,An account was successfully logged on: service_backup service logon (batch) on BKSRV01
2026-07-22 10:00:05,BKSRV01,service_backup,4688,192.168.1.13,192.168.1.13,,0x0,C:\Windows\System32\wbengine.exe,,,A new process was created by service_backup: wbengine.exe (scheduled backup job)
2026-07-22 10:00:15,WS-16,csubramaniam,4634,192.168.1.116,192.168.1.116,2,,,,,An account was logged off: csubramaniam at WS-16
2026-07-22 10:01:02,FS01,service_backup,4624,192.168.1.13,192.168.1.11,3,0x0,,,,An account was successfully logged on: service_backup network logon to FS01 for backup
2026-07-22 10:04:19,WEB01,nkulkarni,4776,192.168.1.117,192.168.1.14,,0x0,,,,The domain controller attempted to validate credentials for nkulkarni (NTLM to WEB01)
2026-07-22 10:04:36,FS02,kverma,4624,192.168.1.105,192.168.1.12,3,0x0,,,,An account was successfully logged on: kverma network logon to FS02 share access
2026-07-22 10:06:18,WEB01,lfernandes,4776,192.168.1.119,192.168.1.14,,0x0,,,,The domain controller attempted to validate credentials for lfernandes (NTLM to WEB01)
2026-07-22 10:08:14,WS-10,itadmin3,4688,192.168.1.110,192.168.1.110,,0x0,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,,,"A new process was created by itadmin3: powershell.exe -Command ""Restart-Service -Name Spooler"""
2026-07-22 10:09:07,BKSRV01,service_backup,4624,192.168.1.13,192.168.1.13,5,0x0,,,,An account was successfully logged on: service_backup service logon (batch) on BKSRV01
2026-07-22 10:09:10,BKSRV01,service_backup,4688,192.168.1.13,192.168.1.13,,0x0,C:\Windows\System32\wbengine.exe,,,A new process was created by service_backup: wbengine.exe (scheduled backup job)
2026-07-22 10:10:07,FS02,service_backup,4624,192.168.1.13,192.168.1.12,3,0x0,,,,An account was successfully logged on: service_backup network logon to FS02 for backup
2026-07-22 10:10:32,DC01,sgowda,4769,192.168.1.106,192.168.1.10,,0x0,,,,A Kerberos service ticket was requested for sgowda to access FS01
2026-07-22 10:10:33,FS01,sgowda,4624,192.168.1.106,192.168.1.11,3,0x0,,,,An account was successfully logged on: sgowda network logon to FS01
2026-07-22 10:10:35,WEB01,svc_web,4624,192.168.1.14,192.168.1.14,5,0x0,,,,An account was successfully logged on: svc_web service logon (IIS app pool)
2026-07-22 10:12:13,WS-02,itadmin3,4688,192.168.1.102,192.168.1.102,,0x0,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,,,"A new process was created by itadmin3: powershell.exe -Command ""Restart-Service -Name Spooler"""
2026-07-22 10:12:25,DC01,fD'souza,4769,192.168.1.112,192.168.1.10,,0x0,,,,A Kerberos service ticket was requested for fD'souza to access FS02
2026-07-22 10:12:26,FS02,fD'souza,4624,192.168.1.112,192.168.1.12,3,0x0,,,,An account was successfully logged on: fD'souza network logon to FS02
2026-07-22 10:12:35,DC01,nkulkarni,4768,192.168.1.117,192.168.1.10,,0x0,,,,A Kerberos authentication ticket (TGT) was requested for nkulkarni
2026-07-22 10:12:37,WS-17,nkulkarni,4624,192.168.1.117,192.168.1.117,2,0x0,,,,An account was successfully logged on: nkulkarni at WS-17
2026-07-22 10:13:49,FS02,svc_scan,4624,192.168.1.12,192.168.1.12,3,0x0,,,,An account was successfully logged on: svc_scan network logon for scheduled scan job
2026-07-22 10:16:05,DC01,vrao,4768,192.168.1.108,192.168.1.10,,0x0,,,,A Kerberos authentication ticket (TGT) was requested for vrao
2026-07-22 10:16:07,WS-08,vrao,4624,192.168.1.108,192.168.1.108,2,0x0,,,,An account was successfully logged on: vrao at WS-08
2026-07-22 10:16:43,FS01,itadmin2,4698,192.168.1.11,192.168.1.11,,0x0,C:\Windows\System32\taskeng.exe,,,A scheduled task was created by itadmin2 on FS01 (routine maintenance task)
2026-07-22 10:17:50,DC01,jthomas,4768,192.168.1.118,192.168.1.10,,0x0,,,,A Kerberos authentication ticket (TGT) was requested for jthomas
2026-07-22 10:17:50,DC01,ychawla,4768,192.168.1.117,192.168.1.10,,0x0,,,,A Kerberos authentication ticket (TGT) was requested for ychawla
2026-07-22 10:17:52,WS-18,jthomas,4624,192.168.1.118,192.168.1.118,2,0x0,,,,An account was successfully logged on: jthomas at WS-18
2026-07-22 10:17:52,WS-17,ychawla,4624,192.168.1.117,192.168.1.117,2,0x0,,,,An account was successfully logged on: ychawla at WS-17
2026-07-22 10:19:01,WS-14,itadmin1,4688,192.168.1.114,192.168.1.114,,0x0,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,,,"A new process was created by itadmin1: powershell.exe -Command ""Get-Disk | Get-Volume"""
2026-07-22 10:19:24,FS02,gnair,4624,192.168.1.107,192.168.1.12,3,0x0,,,,An account was successfully logged on: gnair network logon to FS02 share access
2026-07-22 10:20:50,DC01,itadmin2,4724,192.168.1.10,192.168.1.10,,0x0,,,,An attempt was made to reset bshetty's password by itadmin2
2026-07-22 10:21:04,DC01,pchandra,4768,192.168.1.110,192.168.1.10,,0x0,,,,A Kerberos authentication ticket (TGT) was requested for pchandra
2026-07-22 10:21:06,WS-10,pchandra,4624,192.168.1.110,192.168.1.110,2,0x0,,,,An account was successfully logged on: pchandra at WS-10
2026-07-22 10:21:13,DC01,itadmin1,4769,192.168.1.102,192.168.1.10,,0x0,,,,A Kerberos service ticket was requested for itadmin1 to access FS02
2026-07-22 10:21:14,FS02,itadmin1,4624,192.168.1.102,192.168.1.12,3,0x0,,,,An account was successfully logged on: itadmin1 network logon to FS02
2026-07-22 10:22:57,DC01,itadmin2,4724,192.168.1.10,192.168.1.10,,0x0,,,,An attempt was made to reset nkulkarni's password by itadmin2
2026-07-22 10:26:17,WS-09,ssharma,4625,192.168.1.109,192.168.1.109,2,0xC000006A,,,,An account failed to log on: ssharma at WS-09 (bad password typo)
2026-07-22 10:28:11,DC01,tshah,4768,192.168.1.114,192.168.1.10,,0x0,,,,A Kerberos authentication ticket (TGT) was requested for tshah
2026-07-22 10:28:13,WS-14,tshah,4624,192.168.1.114,192.168.1.114,2,0x0,,,,An account was successfully logged on: tshah at WS-14
2026-07-22 10:31:10,BKSRV01,backup_admin,4624,192.168.1.13,192.168.1.13,5,0x0,,,,An account was successfully logged on: backup_admin service logon (batch) on BKSRV01
2026-07-22 10:31:13,BKSRV01,backup_admin,4688,192.168.1.13,192.168.1.13,,0x0,C:\Windows\System32\wbengine.exe,,,A new process was created by backup_admin: wbengine.exe (scheduled backup job)
2026-07-22 10:31:33,DC01,rmehta,4768,192.168.1.115,192.168.1.10,,0x0,,,,A Kerberos authentication ticket (TGT) was requested for rmehta
2026-07-22 10:31:35,WS-15,rmehta,4624,192.168.1.115,192.168.1.115,2,0x0,,,,An account was successfully logged on: rmehta at WS-15
2026-07-22 10:32:10,FS02,backup_admin,4624,192.168.1.13,192.168.1.12,3,0x0,,,,An account was successfully logged on: backup_admin network logon to FS02 for backup
2026-07-22 10:32:30,DC01,itadmin2,4769,192.168.1.112,192.168.1.10,,0x0,,,,A Kerberos service ticket was requested for itadmin2 to access FS02
2026-07-22 10:32:31,FS02,itadmin2,4624,192.168.1.112,192.168.1.12,3,0x0,,,,An account was successfully logged on: itadmin2 network logon to FS02
2026-07-22 10:34:26,DC01,itadmin1,4768,192.168.1.102,192.168.1.10,,0x0,,,,A Kerberos authentication ticket (TGT) was requested for itadmin1
2026-07-22 10:34:28,WS-02,itadmin1,4624,192.168.1.102,192.168.1.102,2,0x0,,,,An account was successfully logged on: itadmin1 at WS-02
2026-07-22 10:34:37,DC01,nkulkarni,4769,192.168.1.117,192.168.1.10,,0x0,,,,A Kerberos service ticket was requested for nkulkarni to access FS01
2026-07-22 10:34:38,FS01,nkulkarni,4624,192.168.1.117,192.168.1.11,3,0x0,,,,An account was successfully logged on: nkulkarni network logon to FS01
2026-07-22 10:34:55,DC01,mkapoor,4768,192.168.1.103,192.168.1.10,,0x0,,,,A Kerberos authentication ticket (TGT) was requested for mkapoor
2026-07-22 10:34:57,WS-03,mkapoor,4624,192.168.1.103,192.168.1.103,2,0x0,,,,An account was successfully logged on: mkapoor at WS-03
2026-07-22 10:36:03,FS01,itadmin2,4624,192.168.1.112,192.168.1.11,3,0x0,,,,An account was successfully logged on: itadmin2 network logon to FS01 share access
2026-07-22 10:37:09,DC01,nkulkarni,4769,192.168.1.117,192.168.1.10,,0x0,,,,A Kerberos service ticket was requested for nkulkarni to access FS01
2026-07-22 10:37:10,FS01,nkulkarni,4624,192.168.1.117,192.168.1.11,3,0x0,,,,An account was successfully logged on: nkulkarni network logon to FS01
2026-07-22 10:40:56,FS01,svc_sql,4624,192.168.1.11,192.168.1.11,5,0x0,,,,An account was successfully logged on: svc_sql service logon (SQL service)
2026-07-22 10:41:10,WEB01,svc_web,4624,192.168.1.14,192.168.1.14,5,0x0,,,,An account was successfully logged on: svc_web service logon (IIS app pool)
2026-07-22 10:41:43,DC01,gnair,4768,192.168.1.107,192.168.1.10,,0x0,,,,A Kerberos authentication ticket (TGT) was requested for gnair
2026-07-22 10:41:45,WS-07,gnair,4624,192.168.1.107,192.168.1.107,2,0x0,,,,An account was successfully logged on: gnair at WS-07
2026-07-22 10:42:18,FS02,csubramaniam,4624,192.168.1.116,192.168.1.12,3,0x0,,,,An account was successfully logged on: csubramaniam network logon to FS02 share access
2026-07-22 10:45:22,DC01,hshetty,4768,192.168.1.105,192.168.1.10,,0x0,,,,A Kerberos authentication ticket (TGT) was requested for hshetty
2026-07-22 10:45:24,WS-05,hshetty,4624,192.168.1.105,192.168.1.105,2,0x0,,,,An account was successfully logged on: hshetty at WS-05
2026-07-22 10:46:54,FS02,svc_scan,4624,192.168.1.12,192.168.1.12,3,0x0,,,,An account was successfully logged on: svc_scan network logon for scheduled scan job
2026-07-22 10:46:56,DC01,itadmin2,4768,192.168.1.112,192.168.1.10,,0x0,,,,A Kerberos authentication ticket (TGT) was requested for itadmin2
2026-07-22 10:46:58,WS-12,itadmin2,4624,192.168.1.112,192.168.1.112,2,0x0,,,,An account was successfully logged on: itadmin2 at WS-12
2026-07-22 10:48:23,DC01,jthomas,4768,192.168.1.118,192.168.1.10,,0x0,,,,A Kerberos authentication ticket (TGT) was requested for jthomas
2026-07-22 10:48:25,WS-18,jthomas,4624,192.168.1.118,192.168.1.118,2,0x0,,,,An account was successfully logged on: jthomas at WS-18
2026-07-22 10:48:36,WS-05,kverma,4625,192.168.1.105,192.168.1.105,2,0xC000006A,,,,An account failed to log on: kverma at WS-05 (bad password typo)
2026-07-22 10:48:46,WS-04,aiyer,4625,192.168.1.104,192.168.1.104,2,0xC000006A,,,,An account failed to log on: aiyer at WS-04 (bad password typo)
2026-07-22 10:49:04,FS01,pnair,4624,192.168.1.107,192.168.1.11,3,0x0,,,,An account was successfully logged on: pnair network logon to FS01 share access
2026-07-22 10:51:55,WS-10,itadmin2,4688,192.168.1.110,192.168.1.110,,0x0,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,,,"A new process was created by itadmin2: powershell.exe -Command ""Get-Disk | Get-Volume"""
2026-07-22 10:52:18,WS-18,itadmin2,4688,192.168.1.118,192.168.1.118,,0x0,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,,,"A new process was created by itadmin2: powershell.exe -Command ""Get-Disk | Get-Volume"""
2026-07-22 10:52:45,WS-01,dprasad,4625,192.168.1.101,192.168.1.101,2,0xC000006A,,,,An account failed to log on: dprasad at WS-01 (bad password typo)
2026-07-22 10:54:27,FS02,itadmin2,4688,192.168.1.12,192.168.1.12,,0x0,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,,,"A new process was created by itadmin2: powershell.exe -Command ""Set-ADAccountPassword -Identity user -Reset"""
2026-07-22 10:55:12,DC01,kverma,4769,192.168.1.105,192.168.1.10,,0x0,,,,A Kerberos service ticket was requested for kverma to access FS01
2026-07-22 10:55:13,FS01,kverma,4624,192.168.1.105,192.168.1.11,3,0x0,,,,An account was successfully logged on: kverma network logon to FS01
